title,title2,title3,导演和主演,评分,protagonist,链接
爱在黎明破晓前,/Before Sunrise,/情留半天(港)  /  爱在黎明破晓时(台),导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...,8.8,,https://movie.douban.com/subject/1296339/
第六感,/The Sixth Sense,/鬼眼(港)  /  灵异第六感(台),导演: M·奈特·沙马兰 M. Night Shyamalan主演: 布鲁斯·威利斯 Bruce Wi...,8.9,,https://movie.douban.com/subject/1297630/
重庆森林,/重慶森林,/Chungking Express,导演: 王家卫 Kar Wai Wong主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.8,,https://movie.douban.com/subject/1291999/
爱在日落黄昏时,/Before Sunset,/日落巴黎(港)  /  爱在日落巴黎时(台),导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
幽灵公主,/もののけ姫,/魔法公主(港)  /  魔法公主(台),导演: 宫崎骏 Hayao Miyazaki主演: 松田洋治 Yôji Matsuda / 石田百合...,8.9,,https://movie.douban.com/subject/1297359/
入殓师,/おくりびと,/礼仪师之奏鸣曲(港)  /  礼仪师(台),导演: 泷田洋二郎 Yôjirô Takita主演: 本木雅弘 Masahiro Motoki / ...,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
剪刀手爱德华,/Edward Scissorhands,/幻海奇缘(港)  /  剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,8.7,,https://movie.douban.com/subject/1292370/
断背山,/Brokeback Mountain,/断臂山  /  BBM,导演: 李安 Ang Lee主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.8,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
菊次郎的夏天,/菊次郎の夏,/菊次郎之夏  /  Kikujirô no natsu,导演: 北野武 Takeshi Kitano主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,8.9,,https://movie.douban.com/subject/1293359/
勇敢的心,/Braveheart,/惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),导演: 梅尔·吉布森 Mel Gibson主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,8.9,,https://movie.douban.com/subject/1294639/
未麻的部屋,/Perfect Blue,/蓝色恐惧(港 / 台) ,导演: 今敏 Satoshi Kon主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,9.1,,https://movie.douban.com/subject/1395091/
哈利·波特与火焰杯,/Harry Potter and the Goblet of Fire,/哈利波特4：火杯的考验(港 / 台) ,导演: 迈克·内威尔 Mike Newell主演: 丹尼尔·雷德克里夫 Daniel Radclif...,8.8,,https://movie.douban.com/subject/1309055/
借东西的小人阿莉埃蒂,/借りぐらしのアリエッティ,/借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),导演: 米林宏昌 Hiromasa Yonebayashi主演: 志田未来 Mirai Shida / 神木...,8.9,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
茶馆,/The Teahouse,,导演: 谢添 Tian Xie主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,9.6,,https://movie.douban.com/subject/1461403/
头脑特工队,/Inside Out,/玩转脑朋友(港)  /  脑筋急转弯(台),导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen&nb...,8.8,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
时空恋旅人,/About Time,/回到最爱的一天(港)  /  真爱每一天(台),导演: 理查德·柯蒂斯 Richard Curtis主演: 多姆纳尔·格里森 Domhnall Gl...,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
消失的爱人,/Gone Girl,/失踪的女孩  /  失踪女孩,导演: 大卫·芬奇 David Fincher主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/
倩女幽魂,/倩女幽魂(87版)  /  倩女幽魂：妖魔道,,导演: 程小东 Siu-Tung Ching主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,8.8,,https://movie.douban.com/subject/1297447/
无人知晓,/誰も知らない,/谁知赤子心(港)  /  无人知晓的夏日清晨(台),导演: 是枝裕和 Hirokazu Koreeda主演: 柳乐优弥 Yûya Yagira / 北浦爱...,9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
阳光灿烂的日子,/In the Heat of the Sun,,导演: 姜文 Wen Jiang主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,8.8,,https://movie.douban.com/subject/1291875/
完美的世界,/A Perfect World,/强盗保镳,导演: 克林特·伊斯特伍德 Clint Eastwood主演: 凯文·科斯特纳 Kevin Cos...,9.1,,https://movie.douban.com/subject/1300992/
天使爱美丽,/Le Fabuleux destin d'Amélie Poulain,/艾蜜莉的异想世界(台)  /  天使艾米莉,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet主演: 奥黛丽·塔图 Audrey Tau...,8.7,,https://movie.douban.com/subject/1292215/
小森林 夏秋篇,/リトル・フォレスト 夏・秋,/小森食光 / 夏秋篇(台) ,导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
花样年华,/花樣年華,/花样年华导演特别版  /  花样年华4K修复版,导演: 王家卫 Kar Wai Wong主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,8.8,,https://movie.douban.com/subject/1291557/
驯龙高手,/How to Train Your Dragon,/驯龙记(港),导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders主演:...,8.8,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
新世界,/신세계,/暗黑新世界(台)  /  New World,导演: 朴勋政 Hoon-jung Park主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,8.9,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
傲慢与偏见,/Pride & Prejudice,/傲慢与偏见2005  /  Pride And Prejudice,导演: 乔·怀特 Joe Wright主演: 凯拉·奈特莉 Keira Knightley / 马修·...,8.7,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
侧耳倾听,/耳をすませば,/心之谷(台)  /  梦幻街少女(港),导演: 近藤喜文 Yoshifumi Kondo主演: 本名阳子 Youko Honna / 小林桂树 K...,8.9,,https://movie.douban.com/subject/1297052/
一个叫欧维的男人决定去死,/En man som heter Ove,/明天别再来敲门(台)  /  想死冇咁易(港),导演: 汉内斯·赫尔姆 Hannes Holm主演: 罗夫·拉斯加德 Rolf Lassgård...,8.9,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
请以你的名字呼唤我,/Call Me by Your Name,/以你的名字呼唤我(港 / 台) ,导演: 卢卡·瓜达尼诺 Luca Guadagnino主演: 艾米·汉莫 Armie Hammer / ...,8.8,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
怪兽电力公司,"/Monsters, Inc.",/怪兽公司(港)  /  怪物公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman主演: 约...,8.8,,https://movie.douban.com/subject/1291579/
玩具总动员3,/Toy Story 3,/反斗奇兵3(港)  /  玩具的故事3,导演: 李·昂克里奇 Lee Unkrich主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.9,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
教父3,/The Godfather: Part III,/教父第三集  /  教父 III,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...,9.0,,https://movie.douban.com/subject/1294240/
幸福终点站,/The Terminal,/机场客运站(港)  /  航站情缘(台),导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...,8.8,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
色，戒,/色|戒  /  色·戒,,导演: 李安 Ang Lee主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,8.7,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
哪吒闹海,/Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan主演: 梁正晖 Zhenghui ...,9.2,,https://movie.douban.com/subject/1307315/
小森林 冬春篇,/リトル・フォレスト 冬・春,/小森食光 / 冬春篇(台) ,导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
被解救的姜戈,/Django Unchained,/被解放的姜戈  /  决杀令(台),导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 杰米·福克斯 Jamie Foxx /...,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
九品芝麻官,/九品芝麻官之白面包青天  /  Hail the Judge,,导演: 王晶 Jing Wong主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,8.8,,https://movie.douban.com/subject/1297518/
釜山行,/부산행,/尸杀列车(港)  /  尸速列车(台),导演: 延尚昊 Sang-ho Yeon主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,8.6,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
神偷奶爸,/Despicable Me,/卑鄙的我  /  坏蛋奖门人(港),导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud主演: ...,8.7,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
萤火之森,/蛍火の杜へ,/萤火之社  /  Hotarubi no mori e,导演: 大森贵弘 Takahiro Omori主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,8.8,触不到的恋人。,https://movie.douban.com/subject/5989818/
告白,/自白  /  母亲,,导演: 中岛哲也 Tetsuya Nakashima主演: 松隆子 Takako Matsu / 冈田将生 ...,8.8,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
喜宴,/囍宴,/The Wedding Banquet,导演: 李安 Ang Lee主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,9.0,,https://movie.douban.com/subject/1303037/
头号玩家,/Ready Player One,/玩家一号  /  挑战者1号(港),导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 泰伊·谢里丹 Tye Sheri...,8.6,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
玛丽和马克思,/Mary and Max,/巧克力情缘(台)  /  同是天涯寂寞客,导演: 亚当·艾略特 Adam Elliot主演: 托妮·科莱特 Toni Collette / 菲利...,9.0,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
模仿游戏,/The Imitation Game,/解码游戏(港)  /  模拟游戏,导演: 莫滕·泰杜姆 Morten Tyldum主演: 本尼迪克特·康伯巴奇 Benedict C...,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
大鱼,/Big Fish,/大鱼奇缘(港)  /  大智若鱼(台),导演: 蒂姆·波顿 Tim Burton主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,8.8,,https://movie.douban.com/subject/1291545/
七武士,/七人の侍,/七侠四义(港)  /  七剑客(港),导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,9.3,,https://movie.douban.com/subject/1295399/
惊魂记,/Psycho,/精神病患者  /  触目惊心(港),导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock主演: 安东尼·博金斯 Antho...,9.0,,https://movie.douban.com/subject/1293181/
射雕英雄传之东成西就,/射鵰英雄傳之東成西就,/东成西就  /  大英雄 (日本),导演: 刘镇伟 Jeffrey Lau主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,8.7,,https://movie.douban.com/subject/1316510/
血战钢锯岭,/Hacksaw Ridge,/钢锯岭  /  钢铁英雄(台),导演: 梅尔·吉布森 Mel Gibson主演: 安德鲁·加菲尔德 Andrew Garfield /...,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
我是山姆,/I Am Sam,/不一样的爸爸(港)  /  他不笨，他是我爸爸(台),导演: 杰茜·尼尔森 Jessie Nelson主演: Sean Penn / Dakota Fanning / Mi...,9.0,,https://movie.douban.com/subject/1306861/
你的名字。,/君の名は。,/你的名字  /  君之名,导演: 新海诚 Makoto Shinkai主演: 神木隆之介 Ryûnosuke Kamiki / 上...,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
阳光姐妹淘,/써니,/阳光姊妹淘(港)  /  桑尼,导演: 姜炯哲 Hyeong-Cheol Kang主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
恐怖直播,/더 테러 라이브,/死亡“动”新闻(港)  /  恐怖攻击直播(台),导演: 金秉祐 Byeong-woo Kim主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,8.7,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
黑客帝国3：矩阵革命,/The Matrix Revolutions,/22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski...,8.8,,https://movie.douban.com/subject/1302467/
背靠背，脸对脸,"/背对背，脸对脸  /  Back to Back, Face to Face",,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang主演: 牛振华 Zhenhua N...,9.5,,https://movie.douban.com/subject/1307856/
电锯惊魂,/Saw,/恐惧斗室(港)  /  夺魂锯(台),导演: 詹姆斯·温 James Wan主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,8.7,真相就在眼前。,https://movie.douban.com/subject/1417598/
心灵奇旅,/Soul,/灵魂奇遇记(港)  /  灵魂急转弯(台),导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers主演: 杰米·...,8.7,,https://movie.douban.com/subject/24733428/
三块广告牌,"/Three Billboards Outside Ebbing, Missouri",/广告牌杀人事件(港)  /  意外(台),导演: 马丁·麦克唐纳 Martin McDonagh主演: 弗兰西斯·麦克多蒙德 France...,8.7,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
小丑,/Joker,/小丑起源电影：罗密欧  /  Romeo,导演: 托德·菲利普斯 Todd Phillips主演: 杰昆·菲尼克斯 Joaquin Phoeni...,8.7,,https://movie.douban.com/subject/27119724/
达拉斯买家俱乐部,/Dallas Buyers Club,/续命枭雄(港)  /  药命俱乐部(台),导演: 让-马克·瓦雷 Jean-Marc Vallée主演: 马修·麦康纳 Matthew McCon...,8.8,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
谍影重重3,/The Bourne Ultimatum,/叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon / ...,8.9,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
疯狂原始人,/The Croods,/古鲁家族(港 / 台) ,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders主演...,8.7,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
绿里奇迹,/The Green Mile,/绿色奇迹(台)  /  绿色英里,导演: 弗兰克·德拉邦特 Frank Darabont主演: 汤姆·汉克斯 Tom Hanks / ...,8.9,,https://movie.douban.com/subject/1300374/
无间道2,/無間道II,/无间道前传  /  Infernal Affairs II,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak主演: 陈冠希 Edison Chen / ...,8.8,,https://movie.douban.com/subject/1307106/
爱在午夜降临前,/Before Midnight,/情约半生(港)  /  爱在午夜希腊时(台),导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
海街日记,/海街diary,/海街女孩日记(港)  /  Kamakura Diary,导演: 是枝裕和 Hirokazu Koreeda主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,8.8,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
上帝之城,/Cidade de Deus,/无主之城(港)  /  无法无天(台),导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund&nbsp...,9.0,,https://movie.douban.com/subject/1292208/
英雄本色,/A Better Tomorrow  /  Gangland Boss,,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,8.6,,https://movie.douban.com/subject/1297574/
风之谷,/風の谷のナウシカ,/风谷少女  /  Kaze no tani no Naushika,导演: 宫崎骏 Hayao Miyazaki主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,8.9,,https://movie.douban.com/subject/1291585/
疯狂的石头,/Crazy Stone,,导演: 宁浩 Hao Ning主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,8.6,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
心迷宫,/殡棺  /  The Coffin in the Mountain,,导演: 忻钰坤 Yukun Xin主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
雨中曲,/Singin' in the Rain,/万花嬉春(港 / 台) ,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly主演: 吉恩·...,9.1,,https://movie.douban.com/subject/1293460/
2001太空漫游,/2001: A Space Odyssey,/2001：星际漫游  /  2001：太空奥德赛,导演: 斯坦利·库布里克 Stanley Kubrick主演: 凯尔·杜拉 Keir Dullea / ...,8.9,,https://movie.douban.com/subject/1292226/
纵横四海,/緃横四海,/Once a Thief,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,8.8,,https://movie.douban.com/subject/1295409/
记忆碎片,/Memento,/凶心人(港)  /  记忆拼图(台),导演: 克里斯托弗·诺兰 Christopher Nolan主演: 盖·皮尔斯 Guy Pearce /...,8.7,,https://movie.douban.com/subject/1304447/
卢旺达饭店,/Hotel Rwanda,/卢安达饭店(台),导演: 特瑞·乔治 Terry George主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
末路狂花,/Thelma & Louise,/塞尔玛与路易丝  /  末路狂花,导演: 雷德利·斯科特 Ridley Scott主演: 吉娜·戴维斯 Geena Davis / 苏...,9.0,,https://movie.douban.com/subject/1291992/
无敌破坏王,/Wreck-It Ralph,/破坏王拉尔夫  /  破坏王大冒险,导演: 瑞奇·莫尔 Rich Moore主演: 约翰·C·赖利 John C. Reilly / 萨拉...,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
小偷家族,/万引き家族,/Shoplifters  /  Une Affaire de Famille,导演: 是枝裕和 Hirokazu Koreeda主演: 中川雅也 Lily Franky / 安藤樱 Sa...,8.7,我们组成了家。,https://movie.douban.com/subject/27622447/
高山下的花环,/卫国军魂(港)  /  Wreaths at the Foot of the Mountain,,导演: 谢晋 Jin Xie主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,9.5,,https://movie.douban.com/subject/1422283/
冰川时代,/Ice Age,/冰河世纪  /  冰原历险记,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge主演...,8.6,,https://movie.douban.com/subject/1291578/
恐怖游轮,/Triangle,/汪洋血迷宮(台)  /  轮回三角,导演: 克里斯托弗·史密斯 Christopher Smith主演: 梅利莎·乔治 Melissa ...,8.5,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
东京教父,/東京ゴッドファーザーズ,/Tokyo Godfathers,导演: 今敏 Satoshi Kon主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,9.0,,https://movie.douban.com/subject/1310177/
牯岭街少年杀人事件,/牯嶺街少年殺人事件,/A Brighter Summer Day,导演: 杨德昌 Edward Yang主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,8.9,,https://movie.douban.com/subject/1292329/
岁月神偷,/歲月神偷,/1969太空漫游  /  Echoes Of The Rainbow,导演: 罗启锐 Alex Law主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,8.7,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
忠犬八公物语,/ハチ公物語,/八千公物语  /  阿八的故事,导演: 神山征二郎 Seijirô Kôyama主演: 仲代达矢 Tatsuya Nakadai /...,9.2,,https://movie.douban.com/subject/1959195/
魔女宅急便,/魔女の宅急便,/魔女琪琪(台)  /  小魔女限时专送,导演: 宫崎骏 Hayao Miyazaki主演: 高山南 Minami Takayama / 佐久间玲 Re...,8.7,,https://movie.douban.com/subject/1307811/
荒蛮故事,/Relatos salvajes,/蛮荒故事  /  生命中最抓狂的小事(台),导演: 达米安·斯兹弗隆 Damián Szifron主演: 达里奥·葛兰帝内提 Darío...,8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
遗愿清单,/The Bucket List,/玩转身前事(港)  /  一路玩到挂(台),导演: 罗伯·莱纳 Rob Reiner主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,8.7,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
大佛普拉斯,/The Great Buddha+,,导演: 黄信尧 Hsin-yao Huang主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
贫民窟的百万富翁,/Slumdog Millionaire,/一百万零一夜(港)  /  贫民百万富翁(台),导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan主演: 戴夫...,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
源代码,/Source Code,/启动原始码(台)  /  危机解密(港),导演: 邓肯·琼斯 Duncan Jones主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,8.6,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
东邪西毒,/東邪西毒,/Ashes of Time,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,8.6,,https://movie.douban.com/subject/1292328/
你看起来好像很好吃,/おまえうまそうだな,/你看起来很好吃(台)  /  你看上去好像很好吃,导演: 藤森雅也 Masaya Fujimori主演: 山口胜平 Kappei Yamaguchi / 爱河...,8.9,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
疯狂的麦克斯4：狂暴之路,/Mad Max: Fury Road,/末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),导演: 乔治·米勒 George Miller主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
芙蓉镇,/Hibiscus Town,,导演: 谢晋 Jin Xie主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,9.3,,https://movie.douban.com/subject/1297880/
可可西里,/Kekexili: Mountain Patrol,,导演: 陆川 Chuan Lu主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,8.9,坚硬的信仰。,https://movie.douban.com/subject/1308857/
爆裂鼓手,/Whiplash,/鼓动真我(港)  /  进击的鼓手(台),导演: 达米恩·查泽雷 Damien Chazelle主演: 迈尔斯·特勒 Miles Teller /...,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
城市之光,/City Lights,/City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,导演: 查理·卓别林 Charles Chaplin主演: 查理·卓别林 Charles Chaplin ...,9.3,,https://movie.douban.com/subject/1293908/
波西米亚狂想曲,/Bohemian Rhapsody,/波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),导演: 布莱恩·辛格 Bryan Singer主演: 拉米·马雷克 Rami Malek / 本·哈...,8.6,,https://movie.douban.com/subject/5300054/
花束般的恋爱,/花束みたいな恋をした,/她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,导演: 土井裕泰 Nobuhiro Doi主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,8.6,,https://movie.douban.com/subject/34874432/
黑天鹅,/Black Swan,/夺命黑天鹅  /  霸王别鹅(豆友译名),导演: 达伦·阿罗诺夫斯基 Darren Aronofsky主演: 娜塔莉·波特曼 Natalie...,8.6,黑暗之美。,https://movie.douban.com/subject/1978709/
爱乐之城,/La La Land,/星声梦里人(港)  /  乐来越爱你(台),导演: 达米恩·查泽雷 Damien Chazelle主演: 瑞恩·高斯林 Ryan Gosling /...,8.4,,https://movie.douban.com/subject/25934014/
青蛇,/Green Snake,,导演: 徐克 Hark Tsui主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,8.6,,https://movie.douban.com/subject/1303394/
白日梦想家,/The Secret Life of Walter Mitty,/发梦王大历险(港)  /  白日梦冒险王(台),导演: 本·斯蒂勒 Ben Stiller主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,8.6,,https://movie.douban.com/subject/2133323/
哈利·波特与死亡圣器(上),/Harry Potter and the Deathly Hallows: Part 1,/哈利波特7：死神的圣物1(港 / 台) ,导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,8.6,最忠于原著的一部。,https://movie.douban.com/subject/2051007/
终结者2：审判日,/Terminator 2: Judgment Day,/未来战士2(港)  /  魔鬼终结者2(台),导演: 詹姆斯·卡梅隆 James Cameron主演: 阿诺·施瓦辛格 Arnold Schwarz...,8.8,,https://movie.douban.com/subject/1291844/
初恋这件小事,/สิ่งเล็กเล็กที่เรียกว่า...รัก,/初恋那件小事(港)  /  暗恋那点小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,8.5,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
雨人,/Rain Man,/手足情未了(港)  /  手足情深,导演: 巴瑞·莱文森 Barry Levinson主演: 达斯汀·霍夫曼 Dustin Hoffman ...,8.7,,https://movie.douban.com/subject/1291870/
无耻混蛋,/Inglourious Basterds,/希魔撞正杀人狂(港)  /  恶棍特工(台),导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 布拉德·皮特 Brad Pitt / ...,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
新龙门客栈,/新龍門客棧,/New Dragon Gate Inn,导演: 李惠民 Raymond Lee主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,8.7,,https://movie.douban.com/subject/1292287/
人工智能,/A.I. Artificial Intelligence,/AI人工智慧,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 海利·乔·奥斯蒙 Haley...,8.7,,https://movie.douban.com/subject/1302827/
